Div,Date,Time,HomeTeam,AwayTeam
E1,12/09/2026,,West Bromwich Albion FC,Queens Park Rangers FC
E1,12/09/2026,15:00,Southampton FC,Bristol City FC
E1,12/09/2026,,Preston North End FC,Lincoln City FC
E1,12/09/2026,,Blackburn Rovers FC,Millwall FC
E1,12/09/2026,,Charlton Athletic FC,Portsmouth FC
E1,12/09/2026,,Watford FC,Stoke City FC
E1,12/09/2026,,Swansea City AFC,Burnley FC
E1,12/09/2026,,Middlesbrough FC,Norwich City FC
E1,13/09/2026,12:00,Sheffield United FC,Wolverhampton Wanderers FC
E1,15/09/2026,19:45,Middlesbrough FC,Millwall FC
E1,15/09/2026,,Bristol City FC,Lincoln City FC
E1,18/09/2026,20:00,Bristol City FC,Watford FC
E1,19/09/2026,12:30,Stoke City FC,Sheffield United FC
E1,19/09/2026,,Millwall FC,West Ham United FC
E1,19/09/2026,,Cardiff City FC,Charlton Athletic FC
E1,19/09/2026,15:00,Wrexham AFC,Southampton FC
E1,19/09/2026,,Burnley FC,Derby County FC
E1,19/09/2026,,Queens Park Rangers FC,Preston North End FC
E1,19/09/2026,,Portsmouth FC,Blackburn Rovers FC
E1,19/09/2026,,Birmingham City FC,Middlesbrough FC
E1,19/09/2026,,Lincoln City FC,Swansea City AFC
E1,20/09/2026,12:00,Wolverhampton Wanderers FC,West Bromwich Albion FC
E1,20/09/2026,13:30,Norwich City FC,Bolton Wanderers FC
SP1,11/09/2026,21:00,Sevilla FC,Valencia CF
SP1,12/09/2026,14:00,Real Racing Club de Santander,Deportivo Alavés
SP1,12/09/2026,16:15,CA Osasuna,RCD Espanyol de Barcelona
SP1,12/09/2026,18:30,Athletic Club,Elche CF
SP1,12/09/2026,21:00,Real Madrid CF,Rayo Vallecano de Madrid
SP1,13/09/2026,14:00,RC Celta de Vigo,Málaga CF
SP1,13/09/2026,16:15,Levante UD,FC Barcelona
SP1,13/09/2026,18:30,Getafe CF,RC Deportivo La Coruña
SP1,13/09/2026,21:00,Real Sociedad de Fútbol,Club Atlético de Madrid
SP1,14/09/2026,21:00,Villarreal CF,Real Betis Balompié
SP1,15/09/2026,19:00,Rayo Vallecano de Madrid,RCD Espanyol de Barcelona
SP1,15/09/2026,20:00,Deportivo Alavés,Valencia CF
SP1,15/09/2026,21:30,Elche CF,Real Madrid CF
SP1,16/09/2026,19:00,RC Deportivo La Coruña,Sevilla FC
SP1,16/09/2026,,Club Atlético de Madrid,CA Osasuna
SP1,16/09/2026,21:30,Levante UD,Athletic Club
SP1,16/09/2026,,FC Barcelona,Real Racing Club de Santander
SP1,17/09/2026,19:00,Real Betis Balompié,Getafe CF
SP1,17/09/2026,21:30,Málaga CF,Villarreal CF
SP1,18/09/2026,21:00,RCD Espanyol de Barcelona,Elche CF
SP1,19/09/2026,14:00,CA Osasuna,Rayo Vallecano de Madrid
SP1,19/09/2026,16:15,Athletic Club,Deportivo Alavés
SP1,19/09/2026,18:30,RC Celta de Vigo,Real Racing Club de Santander
SP1,19/09/2026,21:00,Sevilla FC,FC Barcelona
SP1,20/09/2026,14:00,Getafe CF,Málaga CF
SP1,20/09/2026,16:15,Club Atlético de Madrid,Real Madrid CF
SP1,20/09/2026,18:30,RC Deportivo La Coruña,Real Betis Balompié
SP1,20/09/2026,,Villarreal CF,Levante UD
SP1,20/09/2026,21:00,Valencia CF,Real Sociedad de Fútbol
I1,11/09/2026,20:45,Venezia FC,ACF Fiorentina
I1,12/09/2026,15:00,Genoa CFC,Frosinone Calcio
I1,12/09/2026,18:00,SS Lazio,AC Milan
I1,12/09/2026,20:45,Atalanta BC,Cagliari Calcio
I1,13/09/2026,15:00,US Lecce,AC Monza
I1,13/09/2026,18:00,SSC Napoli,Bologna FC 1909
I1,13/09/2026,20:45,US Sassuolo Calcio,Juventus FC
I1,14/09/2026,18:30,Como 1907,Parma Calcio 1913
I1,14/09/2026,,Torino FC,AS Roma
I1,14/09/2026,20:45,FC Internazionale Milano,Udinese Calcio
I1,18/09/2026,20:45,AC Monza,US Sassuolo Calcio
I1,19/09/2026,15:00,Bologna FC 1909,Torino FC
I1,19/09/2026,,Udinese Calcio,Cagliari Calcio
I1,19/09/2026,18:00,AS Roma,FC Internazionale Milano
I1,19/09/2026,20:45,Venezia FC,SS Lazio
I1,20/09/2026,12:30,ACF Fiorentina,SSC Napoli
I1,20/09/2026,15:00,Frosinone Calcio,Como 1907
I1,20/09/2026,,Parma Calcio 1913,Genoa CFC
I1,20/09/2026,18:00,Juventus FC,Atalanta BC
I1,20/09/2026,20:45,AC Milan,US Lecce
D1,11/09/2026,20:30,1. FC Union Berlin,FC Schalke 04
D1,12/09/2026,15:30,TSG 1899 Hoffenheim,VfB Stuttgart
D1,12/09/2026,,Borussia Dortmund,SC Paderborn 07
D1,12/09/2026,,FC Augsburg,Bayer 04 Leverkusen
D1,12/09/2026,,1. FSV Mainz 05,Eintracht Frankfurt
D1,12/09/2026,,SC Freiburg,Borussia Mönchengladbach
D1,12/09/2026,18:30,1. FC Köln,SV Werder Bremen
D1,13/09/2026,15:30,RB Leipzig,Hamburger SV
D1,13/09/2026,17:30,SV 07 Elversberg,FC Bayern München
D1,18/09/2026,20:30,FC Bayern München,1. FC Union Berlin
D1,19/09/2026,15:30,Hamburger SV,1. FC Köln
D1,19/09/2026,,Borussia Mönchengladbach,1. FSV Mainz 05
D1,19/09/2026,,SV Werder Bremen,FC Augsburg
D1,19/09/2026,,Eintracht Frankfurt,SC Freiburg
D1,19/09/2026,18:30,VfB Stuttgart,Borussia Dortmund
D1,20/09/2026,15:30,Bayer 04 Leverkusen,RB Leipzig
D1,20/09/2026,17:30,FC Schalke 04,SV 07 Elversberg
D1,20/09/2026,19:30,SC Paderborn 07,TSG 1899 Hoffenheim
B1,11/09/2026,20:45,KV Mechelen,RSC Anderlecht
B1,12/09/2026,16:00,SK Beveren,STVV
B1,12/09/2026,18:15,KVC Westerlo,Standard de Liège
B1,12/09/2026,20:45,Royale Union Saint-Gilloise,Lommel SK (*)
B1,12/09/2026,20:45,OH Leuven,Cercle Brugge
B1,13/09/2026,13:30,Club Brugge,Royal Antwerp FC
B1,13/09/2026,16:00,KRC Genk,KAA Gent
B1,13/09/2026,18:30,SV Zulte Waregem,Sporting Charleroi
B1,13/09/2026,19:15,RAAL La Louvière,KV Kortrijk
B1,18/09/2026,20:45,KAA Gent,Standard de Liège
B1,19/09/2026,16:00,OH Leuven,RAAL La Louvière
B1,19/09/2026,18:15,Sporting Charleroi,Cercle Brugge
B1,19/09/2026,20:45,Lommel SK,KV Mechelen
B1,19/09/2026,20:45,RSC Anderlecht,SV Zulte Waregem
B1,20/09/2026,13:30,Royal Antwerp FC,Royale Union Saint-Gilloise
B1,20/09/2026,16:00,STVV,KVC Westerlo
B1,20/09/2026,18:30,Club Brugge,KRC Genk
B1,20/09/2026,19:15,KV Kortrijk,SK Beveren
B1,20/09/2026,,SV Zulte Waregem,KAA Gent
B1,20/09/2026,,KVC Westerlo,Royal Antwerp FC
B1,20/09/2026,,Royale Union Saint-Gilloise,OH Leuven
B1,20/09/2026,,Standard de Liège,Sporting Charleroi
B1,20/09/2026,,KRC Genk,KV Kortrijk
B1,20/09/2026,,RAAL La Louvière,Club Brugge
B1,20/09/2026,,Cercle Brugge,RSC Anderlecht
B1,20/09/2026,,SK Beveren,Lommel SK
B1,20/09/2026,,KV Mechelen,STVV
B1,20/09/2026,,Royale Union Saint-Gilloise,Cercle Brugge
B1,20/09/2026,,KAA Gent,RSC Anderlecht
B1,20/09/2026,,KV Kortrijk,KV Mechelen
B1,20/09/2026,,KVC Westerlo,SK Beveren
B1,20/09/2026,,OH Leuven,Lommel SK
B1,20/09/2026,,KRC Genk,Standard de Liège
B1,20/09/2026,,Club Brugge,STVV
B1,20/09/2026,,RAAL La Louvière,SV Zulte Waregem
B1,20/09/2026,,Royal Antwerp FC,Sporting Charleroi
B1,20/09/2026,,Cercle Brugge,Royal Antwerp FC
B1,20/09/2026,,STVV,OH Leuven
B1,20/09/2026,,Sporting Charleroi,RAAL La Louvière
B1,20/09/2026,,SK Beveren,Royale Union Saint-Gilloise
B1,20/09/2026,,Standard de Liège,KV Kortrijk
B1,20/09/2026,,KV Mechelen,KRC Genk
B1,20/09/2026,,SV Zulte Waregem,Club Brugge
B1,20/09/2026,,RSC Anderlecht,KVC Westerlo
B1,20/09/2026,,Lommel SK,KAA Gent
B1,20/09/2026,,OH Leuven,KV Mechelen
B1,20/09/2026,,Standard de Liège,SK Beveren
B1,20/09/2026,,Club Brugge,RSC Anderlecht
B1,20/09/2026,,STVV,SV Zulte Waregem
B1,20/09/2026,,Royal Antwerp FC,Lommel SK
B1,20/09/2026,,RAAL La Louvière,Cercle Brugge
B1,20/09/2026,,KVC Westerlo,Sporting Charleroi
B1,20/09/2026,,KAA Gent,KV Kortrijk
B1,20/09/2026,,Royale Union Saint-Gilloise,KRC Genk
B1,20/09/2026,,KV Kortrijk,Royale Union Saint-Gilloise
B1,20/09/2026,,RSC Anderlecht,OH Leuven
B1,20/09/2026,,KRC Genk,RAAL La Louvière
B1,20/09/2026,,KV Mechelen,Club Brugge
B1,20/09/2026,,SV Zulte Waregem,Royal Antwerp FC
B1,20/09/2026,,Sporting Charleroi,STVV
B1,20/09/2026,,Cercle Brugge,KVC Westerlo
B1,20/09/2026,,Lommel SK,Standard de Liège
B1,20/09/2026,,SK Beveren,KAA Gent
B1,20/09/2026,,Cercle Brugge,KV Mechelen
B1,20/09/2026,,KVC Westerlo,RAAL La Louvière
B1,20/09/2026,,Sporting Charleroi,SK Beveren
B1,20/09/2026,,Royale Union Saint-Gilloise,KAA Gent
B1,20/09/2026,,STVV,KRC Genk
B1,20/09/2026,,Royal Antwerp FC,RSC Anderlecht
B1,20/09/2026,,OH Leuven,KV Kortrijk
B1,20/09/2026,,Lommel SK,SV Zulte Waregem
B1,20/09/2026,,Standard de Liège,Club Brugge
B1,20/09/2026,,KV Mechelen,Royale Union Saint-Gilloise
B1,20/09/2026,,SV Zulte Waregem,Standard de Liège
B1,20/09/2026,,RAAL La Louvière,Royal Antwerp FC
B1,20/09/2026,,KAA Gent,STVV
B1,20/09/2026,,Club Brugge,KVC Westerlo
B1,20/09/2026,,KV Kortrijk,Lommel SK
B1,20/09/2026,,KRC Genk,OH Leuven
B1,20/09/2026,,SK Beveren,Cercle Brugge
B1,20/09/2026,,RSC Anderlecht,Sporting Charleroi
B1,20/09/2026,,Standard de Liège,RSC Anderlecht
B1,20/09/2026,,Lommel SK,RAAL La Louvière
B1,20/09/2026,,Cercle Brugge,SV Zulte Waregem
B1,20/09/2026,,Royal Antwerp FC,OH Leuven
B1,20/09/2026,,KVC Westerlo,KAA Gent
B1,20/09/2026,,Royale Union Saint-Gilloise,Club Brugge
B1,20/09/2026,,STVV,KV Kortrijk
B1,20/09/2026,,Sporting Charleroi,KRC Genk
B1,20/09/2026,,SK Beveren,KV Mechelen
B1,20/09/2026,,RAAL La Louvière,SK Beveren
B1,20/09/2026,,OH Leuven,KVC Westerlo
B1,20/09/2026,,KV Kortrijk,Cercle Brugge
B1,20/09/2026,,KAA Gent,Royal Antwerp FC
B1,20/09/2026,,KRC Genk,Lommel SK
B1,20/09/2026,,Standard de Liège,Royale Union Saint-Gilloise
B1,20/09/2026,,Club Brugge,Sporting Charleroi
B1,20/09/2026,,RSC Anderlecht,STVV
B1,20/09/2026,,KV Mechelen,SV Zulte Waregem
B1,20/09/2026,,STVV,Standard de Liège
B1,20/09/2026,,Cercle Brugge,KRC Genk
B1,20/09/2026,,Sporting Charleroi,KAA Gent
B1,20/09/2026,,Royale Union Saint-Gilloise,RAAL La Louvière
B1,20/09/2026,,SK Beveren,Club Brugge
B1,20/09/2026,,Lommel SK,RSC Anderlecht
B1,20/09/2026,,Royal Antwerp FC,KV Mechelen
B1,20/09/2026,,KVC Westerlo,KV Kortrijk
B1,20/09/2026,,SV Zulte Waregem,OH Leuven
B1,20/09/2026,,Royale Union Saint-Gilloise,SK Beveren
B1,20/09/2026,,Club Brugge,RAAL La Louvière
B1,20/09/2026,,KRC Genk,SV Zulte Waregem
B1,20/09/2026,,KV Mechelen,Lommel SK
B1,20/09/2026,,KAA Gent,Cercle Brugge
B1,20/09/2026,,KV Kortrijk,RSC Anderlecht
B1,20/09/2026,,Sporting Charleroi,Royal Antwerp FC
B1,20/09/2026,,OH Leuven,STVV
B1,20/09/2026,,Standard de Liège,KVC Westerlo
B1,20/09/2026,,Cercle Brugge,Standard de Liège
B1,20/09/2026,,SV Zulte Waregem,Royale Union Saint-Gilloise
B1,20/09/2026,,STVV,KV Mechelen
B1,20/09/2026,,RAAL La Louvière,Sporting Charleroi
B1,20/09/2026,,RSC Anderlecht,KAA Gent
B1,20/09/2026,,Lommel SK,OH Leuven
B1,20/09/2026,,SK Beveren,KV Kortrijk
B1,20/09/2026,,KVC Westerlo,KRC Genk
B1,20/09/2026,,Royal Antwerp FC,Club Brugge
B1,20/09/2026,,KRC Genk,Royal Antwerp FC
B1,20/09/2026,,KV Kortrijk,RAAL La Louvière
B1,20/09/2026,,Royale Union Saint-Gilloise,STVV
B1,20/09/2026,,KAA Gent,SK Beveren
B1,20/09/2026,,OH Leuven,RSC Anderlecht
B1,20/09/2026,,Sporting Charleroi,KVC Westerlo
B1,20/09/2026,,Club Brugge,Standard de Liège
B1,20/09/2026,,SV Zulte Waregem,Lommel SK
B1,20/09/2026,,KV Mechelen,Cercle Brugge
B1,20/09/2026,,Standard de Liège,SV Zulte Waregem
B1,20/09/2026,,KVC Westerlo,Club Brugge
B1,20/09/2026,,STVV,KAA Gent
B1,20/09/2026,,Lommel SK,Royale Union Saint-Gilloise
B1,20/09/2026,,RSC Anderlecht,KV Mechelen
B1,20/09/2026,,RAAL La Louvière,OH Leuven
B1,20/09/2026,,SK Beveren,KRC Genk
B1,20/09/2026,,Royal Antwerp FC,KV Kortrijk
B1,20/09/2026,,Cercle Brugge,Sporting Charleroi
B1,20/09/2026,,KV Mechelen,SK Beveren
B1,20/09/2026,,Sporting Charleroi,Standard de Liège
B1,20/09/2026,,KV Kortrijk,KRC Genk
B1,20/09/2026,,KAA Gent,RAAL La Louvière
B1,20/09/2026,,Royale Union Saint-Gilloise,KVC Westerlo
B1,20/09/2026,,STVV,Cercle Brugge
B1,20/09/2026,,OH Leuven,Royal Antwerp FC
B1,20/09/2026,,Club Brugge,Lommel SK
B1,20/09/2026,,SV Zulte Waregem,RSC Anderlecht
B1,20/09/2026,,Cercle Brugge,OH Leuven
B1,20/09/2026,,Lommel SK,KV Kortrijk
B1,20/09/2026,,RSC Anderlecht,Club Brugge
B1,20/09/2026,,RAAL La Louvière,STVV
B1,20/09/2026,,KVC Westerlo,KV Mechelen
B1,20/09/2026,,SK Beveren,Sporting Charleroi
B1,20/09/2026,,KRC Genk,Royale Union Saint-Gilloise
B1,20/09/2026,,Standard de Liège,KAA Gent
B1,20/09/2026,,Royal Antwerp FC,SV Zulte Waregem
B1,20/09/2026,,RAAL La Louvière,Lommel SK
B1,20/09/2026,,KAA Gent,Sporting Charleroi
B1,20/09/2026,,SV Zulte Waregem,Cercle Brugge
B1,20/09/2026,,STVV,Royal Antwerp FC
B1,20/09/2026,,KVC Westerlo,RSC Anderlecht
B1,20/09/2026,,KV Mechelen,KV Kortrijk
B1,20/09/2026,,Club Brugge,SK Beveren
B1,20/09/2026,,Royale Union Saint-Gilloise,Standard de Liège
B1,20/09/2026,,OH Leuven,KRC Genk
B1,20/09/2026,,KRC Genk,STVV
B1,20/09/2026,,Sporting Charleroi,Club Brugge
B1,20/09/2026,,KV Kortrijk,OH Leuven
B1,20/09/2026,,Standard de Liège,KV Mechelen
B1,20/09/2026,,Royal Antwerp FC,RAAL La Louvière
B1,20/09/2026,,Cercle Brugge,Royale Union Saint-Gilloise
B1,20/09/2026,,KAA Gent,SV Zulte Waregem
B1,20/09/2026,,RSC Anderlecht,Lommel SK
B1,20/09/2026,,SK Beveren,KVC Westerlo
B1,20/09/2026,,Lommel SK,Royal Antwerp FC
B1,20/09/2026,,STVV,SK Beveren
B1,20/09/2026,,OH Leuven,Royale Union Saint-Gilloise
B1,20/09/2026,,SV Zulte Waregem,KV Kortrijk
B1,20/09/2026,,KVC Westerlo,Cercle Brugge
B1,20/09/2026,,Club Brugge,KAA Gent
B1,20/09/2026,,RSC Anderlecht,Standard de Liège
B1,20/09/2026,,RAAL La Louvière,KRC Genk
B1,20/09/2026,,KV Mechelen,Sporting Charleroi
B1,20/09/2026,,Sporting Charleroi,Lommel SK
B1,20/09/2026,,Standard de Liège,STVV
B1,20/09/2026,,KRC Genk,RSC Anderlecht
B1,20/09/2026,,KAA Gent,KVC Westerlo
B1,20/09/2026,,Cercle Brugge,RAAL La Louvière
B1,20/09/2026,,OH Leuven,SV Zulte Waregem
B1,20/09/2026,,KV Kortrijk,Club Brugge
B1,20/09/2026,,Royale Union Saint-Gilloise,KV Mechelen
B1,20/09/2026,,SK Beveren,Royal Antwerp FC
B1,20/09/2026,,KV Kortrijk,Standard de Liège
B1,20/09/2026,,RAAL La Louvière,Royale Union Saint-Gilloise
B1,20/09/2026,,Lommel SK,KRC Genk
B1,20/09/2026,,STVV,Sporting Charleroi
B1,20/09/2026,,Club Brugge,OH Leuven
B1,20/09/2026,,KV Mechelen,KAA Gent
B1,20/09/2026,,SV Zulte Waregem,KVC Westerlo
B1,20/09/2026,,RSC Anderlecht,SK Beveren
B1,20/09/2026,,Royal Antwerp FC,Cercle Brugge
B1,20/09/2026,,KV Mechelen,RAAL La Louvière
B1,20/09/2026,,Royale Union Saint-Gilloise,Royal Antwerp FC
B1,20/09/2026,,KRC Genk,Club Brugge
B1,20/09/2026,,Cercle Brugge,KV Kortrijk
B1,20/09/2026,,Standard de Liège,OH Leuven
B1,20/09/2026,,KVC Westerlo,STVV
B1,20/09/2026,,KAA Gent,Lommel SK
B1,20/09/2026,,Sporting Charleroi,RSC Anderlecht
B1,20/09/2026,,SK Beveren,SV Zulte Waregem
B1,20/09/2026,,Royal Antwerp FC,KAA Gent
B1,20/09/2026,,RSC Anderlecht,Cercle Brugge
B1,20/09/2026,,OH Leuven,SK Beveren
B1,20/09/2026,,Club Brugge,Royale Union Saint-Gilloise
B1,20/09/2026,,SV Zulte Waregem,KV Mechelen
B1,20/09/2026,,KRC Genk,Sporting Charleroi
B1,20/09/2026,,RAAL La Louvière,Standard de Liège
B1,20/09/2026,,KV Kortrijk,KVC Westerlo
B1,20/09/2026,,Lommel SK,STVV
B1,20/09/2026,,Standard de Liège,Lommel SK
B1,20/09/2026,,KVC Westerlo,OH Leuven
B1,20/09/2026,,KV Mechelen,Royal Antwerp FC
B1,20/09/2026,,KAA Gent,KRC Genk
B1,20/09/2026,,Sporting Charleroi,SV Zulte Waregem
B1,20/09/2026,,STVV,RSC Anderlecht
B1,20/09/2026,,SK Beveren,RAAL La Louvière
B1,20/09/2026,,Royale Union Saint-Gilloise,KV Kortrijk
B1,20/09/2026,,Cercle Brugge,Club Brugge
B1,20/09/2026,,RAAL La Louvière,KVC Westerlo
B1,20/09/2026,,SV Zulte Waregem,STVV
B1,20/09/2026,,Lommel SK,SK Beveren
B1,20/09/2026,,OH Leuven,Sporting Charleroi
B1,20/09/2026,,Royal Antwerp FC,Standard de Liège
B1,20/09/2026,,RSC Anderlecht,Royale Union Saint-Gilloise
B1,20/09/2026,,KV Kortrijk,KAA Gent
B1,20/09/2026,,Club Brugge,KV Mechelen
B1,20/09/2026,,KRC Genk,Cercle Brugge
B1,20/09/2026,,STVV,Club Brugge
B1,20/09/2026,,Sporting Charleroi,KV Kortrijk
B1,20/09/2026,,KV Mechelen,OH Leuven
B1,20/09/2026,,Cercle Brugge,SK Beveren
B1,20/09/2026,,Standard de Liège,KRC Genk
B1,20/09/2026,,KAA Gent,Royale Union Saint-Gilloise
B1,20/09/2026,,KVC Westerlo,Lommel SK
B1,20/09/2026,,SV Zulte Waregem,RAAL La Louvière
B1,20/09/2026,,RSC Anderlecht,Royal Antwerp FC
B1,20/09/2026,,Club Brugge,SV Zulte Waregem
B1,20/09/2026,,Royale Union Saint-Gilloise,Sporting Charleroi
B1,20/09/2026,,Royal Antwerp FC,KVC Westerlo
B1,20/09/2026,,OH Leuven,KAA Gent
B1,20/09/2026,,Lommel SK,Cercle Brugge
B1,20/09/2026,,RAAL La Louvière,RSC Anderlecht
B1,20/09/2026,,KRC Genk,KV Mechelen
B1,20/09/2026,,SK Beveren,Standard de Liège
B1,20/09/2026,,KV Kortrijk,STVV
